Text,Label
RT @SINDOnews: Trafik Data Layanan XL Axiata Naik 24% saat Pilpres 2019 https://t.co/bLhzV4Tqdl,NETRAL
"RT @SINDOnews: Pantau Ujian Nasional Tingkat SMP dan SD, Ini Harapan Hatta Rahman https://t.co/32Rgpubdcj",NETRAL
"RT @SINDOnews: BPN Prabowo-Sandi: Pemilu 2019 Tidak Jujur, Adil dan Transparan https://t.co/2Ed7mPBY1p",NETRAL
RT @SINDOnews: Petugas KPPS di Lebak Banten Meninggal Saat Salat Shubuh https://t.co/9KJJmHTLgd,NETRAL
RT @SINDOnews: PNM Salurkan Pembiayaan Sepanjang Kuartal I/2019 Capai Rp3 Triliun https://t.co/EZ9QS5bw8N,NETRAL
"RT @SINDOnews: Gasak Uang Rp177 Juta, Karyawan Minimarket Meringkuk di Tahanan https://t.co/OdxF9EHE1E",NETRAL
RT @SINDOnews: Trik Membuat Tekwan Udang Khas Palembang untuk Cemilan Sore https://t.co/JPrII2LX3p,NETRAL
RT @SINDOnews: KPU Sebut Tudingan Curang Tidak Berdasar https://t.co/29UjnoQZjB,NETRAL
"RT @SINDOnews: Hasil Lengkap Playoff NBA, Senin (22/4/2019) WIB https://t.co/YHuqCKUIxG",NETRAL
"KORANSINDO &amp; https://t.co/zHd9NUeZ9E Present ""Beach Run Tropical Sunset""

Buat kamu para runners yuk ikutan, kita olah raga sambil menikmati indahnya pantai Lagoon Ancol.
#BeachrunTropical 

Klik https://t.co/Rpv8dQcfqw https://t.co/QiS81Noltq",NETRAL
"RT @SINDOnews: Bertemu Prabowo Saat Salat Jumat, Ini Pesan Jimly Asshiddiqie ke Kubu 02 https://t.co/MFxwrlWGLv",NETRAL
RT @SINDOnews: IHSG Berakhir Anjlok ke Level 6.414 Saat Bursa Asia Variatif https://t.co/BDDaB4ntYo,NETRAL
RT @SINDOnews: Pemprov Sulsel Bakal Gelar Jambore Inovasi Layanan Publik https://t.co/tabvmnawFh,NETRAL
RT @SINDOnews: DPRD Pangandaran Selesaikan Kajian 4 Raperda Inisiatif https://t.co/UI3QlbhMRq,NETRAL
RT @SINDOnews: Fakta-fakta dan Kejanggalan dari Tragedi Bom Sri Lanka https://t.co/uWtTPI7Q7r,NETRAL
RT @SINDOnews: Komisi II dan III DPRD Pangandaran Selesaikan Kajian Raperda Inisiatif https://t.co/iCYWZHmqyu,NETRAL
RT @SINDOnews: Bawaslu Raja Ampat Masih Periksa 2 Pelaku Pencoblosan Double https://t.co/R4EnN1Fvj6,NETRAL
RT @SINDOnews: Wuling Motors Mau Pamer Keluarga Baru Confero S dan Cortez ke IIMS 2019 https://t.co/qtUFbIIk1N,NETRAL
RT @SINDOnews: DKI Gelar Sayembara Desain Seragam Lapangan Satpol PP https://t.co/zHLHfN1WCz,NETRAL
RT @SINDOnews: Pendukung Prabowo-Sandi Diajak Terus Kawal Rekapitulasi Suara https://t.co/9XXegWrRo8,NETRAL
"RT @SINDOnews: Bahas Tiket Pesawat Mahal, Menhub Panggil Pihak Maskapai https://t.co/jEcnDgoaf6",NETRAL
RT @SINDOnews: Hitung Ulang Suara Seluruh TPS di Surabaya Tidak Manusiawi https://t.co/22h9FT5BTu,NETRAL
"RT @SINDOnews: Honor Belum Diberikan, Anggota KPPS Geruduk Kantor KPU Sleman https://t.co/Rbf0cEArTP",NETRAL
"RT @SINDOnews: Pasca-Pengunduran Diri, Bupati Madina Jatuh Sakit https://t.co/UEa9XXIdQF",NETRAL
"RT @SINDOnews: Belum Tentukan Wagub DKI, DPRD Mengaku Masih Sibuk Pasca Pemilu 2019 https://t.co/Dd3iHjMmti",NETRAL
"RT @SINDOnews: Ditanya Wajib Militer, BTS: Kami Hanya Menikmati Hidup https://t.co/DPxOSviyDk",NETRAL
"RT @SINDOnews: Kembali ke Puncak Klasemen, Klopp Belum Mau Pikirkan Barcelona https://t.co/Ped0oScWkD",NETRAL
"RT @SINDOnews: Usai Pemilu, ICMI Imbau Masyarakat Menahan Diri dan Tunggu Hasil Resmi KPU https://t.co/ctEIHxPI5d",NETRAL
"RT @SINDOnews: Datangi Polda Metro Jaya, Andre Taulany Sebut Instagram Istrinya Diretas https://t.co/difDNeekN0",NETRAL
"RT @SINDOnews: Beredar Rilis Perolehan Kursi DPRD, KPU Purwakarta Minta PKS Tahan Diri https://t.co/YMwKbzACOb",NETRAL
RT @SINDOnews: J&amp;C Cookies Optimistis Penjualan pada Lebaran Tahun Ini Naik https://t.co/Ei0saK3gkn,NETRAL
RT @SINDOnews: MBiz Buka Peluang Besar Bagi UMKM Naik Kelas https://t.co/3orrYfxtyW,NETRAL
"RT @SINDOnews: Data 130 Ribu TPS Sudah Masuk KPU, Ini Posisi Suara Jokowi-Prabowo https://t.co/tvm0ClZUjK",NETRAL
"RT @SINDOnews: 40 WNA Ditangkap di Semarang, Dipastikan Tak Terkait Pemilu https://t.co/LVd7CWxxdV",NETRAL
RT @SINDOnews: Imigrasi Semarang Bekuk 40 WNA Sindikat Kejahatan Siber Internasional https://t.co/MuvualzryP,NETRAL
RT @SINDOnews: Kebakaran di Lantai 3 Blok C Tanah Abang https://t.co/y3GkiCVwby,NETRAL
"RT @SINDOnews: Prihatin Kehidupan Politik Indonesia, ICMI Keluarkan Maklumat Kebangsaan https://t.co/ZqNWcnolKs",NETRAL
RT @SINDOnews: Harga Apartemen Diramal Melonjak Tiga Kali Lipat 25 Tahun ke Depan https://t.co/pfPLz679TB,NETRAL
RT @SINDOnews: Pelaku Tabrak Lari di Saharjo Negatif Alkohol dan Narkoba https://t.co/P3BQdEXZ4h,NETRAL
"RT @SINDOnews: Hanya 17 Sekolah di Gowa Laksanakan UNBK, Ini Kendalanya https://t.co/bO88aEeTH0",NETRAL
RT @SINDOnews: Adnan Pantau USBN SMP di 2 Sekolah di kabupaten Gowa https://t.co/gCCmFfYw3g,NETRAL
RT @SINDOnews: Tentara Israel Tembak Remaja Palestina yang Diborgol dan Mata Ditutup https://t.co/MmP8rxngMM,NETRAL
"RT @SINDOnews: Puluhan Petugas KPPS Wafat, Mendagri Setuju Pemilu Serentak Dievaluasi https://t.co/P0wXYpfxjr",NETRAL
"RT @SINDOnews: Mbizmarket, Marketplace B2B Pertama di Indonesia Diluncurkan https://t.co/EyF94QID8u",NETRAL
RT @SINDOnews: Fadli Zon Terima Laporan Kasus Surat Suara Tercoblos di Malaysia https://t.co/CHaGUa3qge,NETRAL
RT @SINDOnews: Imunisasi dan Nutrisi Seimbang Bisa Cegah Penyakit Mematikan https://t.co/OEYXXoQuFV,NETRAL
RT @SINDOnews: Jangan Lupa Beriwisata ke Desa Tablanusu di Crossborder Skouw https://t.co/nLWWf1jOnc,NETRAL
"Perempuan Indonesia dgn nilai semangat Kartini &amp; secara konsisten mendukung kemajuan wanita Indonesia adalah Dhanny Dahlan, Spd , Maya Ratih, Vera Anggraini, Santi Tio, Gladys KLT, Shandy Purnamasari &amp; Alya Nurshabrina (Miss Indonesia 2018) #KartiniMasaKINI2019",NETRAL
Akan ada talkshow yang mengangkat tema pemberdayaan perempuan bersama Ibu Liliana Tanoesoedibjo sebagai Chairwoman of MNC Channels &amp; Highend Magazine serta akan ada 7 perempuan penerima penghargaan Kartini Masa Kini 2019 #MNCCHANNELS #KARTINIMASAKINI2019,NETRAL
Pada tahun keempat penyelengaraan event ini menghadirkan karya designer dari @verakebaya dan @mayaratih_ctr dengan konsep Trunk Show. #MNCCHANNELS #KARTINIMASAKINI2019,NETRAL
"Lifestyle &amp; Fashion channel menggelar event fashion show bertanjuk Kartini Masa Kini, dalam rangka memperingati hari Kartini.  Kartini Masa Kini akan diadakan pada tanggal 22 April 2019 di Fountain Lounge - Grand Hyatt Jakarta #MNCCHANNELS #KARTINIMASAKINI2019",NETRAL
"Lifestyle &amp; Fashion Channel merupakan penggabungan dari 3 channel yaitu MNC Lifestyle, MNC Fashion serta Health &amp; Beauty channel yang telah mengudara 24 jam sejak tanggal 1 April 2019 di channel 90 MNC Vision &amp; MNC play #MNCCHANNELS #KARTINIMASAKINI201 #LifestyleFashionChannel",NETRAL
"MNC Channels memiliki 16 channel yang salah satunya adalah Lifestyle &amp; Fashion channel yang berisikan program program gaya hidup, fashion dan selebriti Tanah Air #MNCCHANNELS #KARTINIMASAKINI2019 #LifestyleFashionChannel",NETRAL
RT @SINDOnews: Anak Usaha Pertamina Masuk Holding BUMN Penerbangan https://t.co/qJAlmbVlMZ,NETRAL
RT @SINDOnews: Pelaku Tabrak Lari Beruntun di Rasuna Said-Saharjo Ternyata Dua Orang https://t.co/nw0v6H8QCN,NETRAL
RT @SINDOnews: Keluarga Alumni UGM Minta Elite Politik Tak Umbar Pernyataan Provokatif https://t.co/32GLwXtEFl,NETRAL
"RT @SINDOnews: Musim Panen Perdana, Produksi Padi Majalengka Tak Sesuai Harapan https://t.co/ELR0JWUnPS",NETRAL
"RT @SINDOnews: Polisi Jinakkan Bom Ke-9 di Bandara Kolombo, 13 Orang Ditangkap https://t.co/OedResxuSR",NETRAL
"RT @SINDOnews: Peringati Hari Kartini, SPBU Pertamina Hadirkan Layanan Spesial https://t.co/o5YXGsoqgi",NETRAL
RT @SINDOnews: Siswa Tunanetra Ikuti USBN https://t.co/wHKl1nYl9V,NETRAL
RT @SINDOnews: Mahasiswa MTI AMIKOM Yogyakarta ikuti Start Up Ecosystem Short Term Awards https://t.co/aPlBLXVTzd,NETRAL
